codigo_ibge,municipio,uf,area_municipal_equal_area_km2,area_cerrado_km2,area_caatinga_km2,area_outros_biomas_km2,percentual_cerrado,percentual_caatinga
3100500,Açucena,MG,815.421879,0.000000,0.000000,815.421879,0.000000,0.000000
3100609,Água Boa,MG,1320.343653,1.936431,0.000000,1318.407222,0.146661,0.000000
3100906,Águas Formosas,MG,820.078973,0.000000,0.000000,820.078973,0.000000,0.000000
3101003,Águas Vermelhas,MG,1256.607596,0.000000,0.000000,1256.607596,0.000000,0.000000
3101102,Aimorés,MG,1348.912844,0.000000,0.000000,1348.912844,0.000000,0.000000
3101706,Almenara,MG,2294.425878,0.000000,0.000000,2294.425878,0.000000,0.000000
3101805,Alpercata,MG,166.972386,0.000000,0.000000,166.972386,0.000000,0.000000
3102209,Alvarenga,MG,278.175726,0.000000,0.000000,278.175726,0.000000,0.000000
3102704,Cachoeira de Pajeú,MG,695.672331,0.000000,0.000000,695.672331,0.000000,0.000000
3102852,Angelândia,MG,185.210813,72.740117,0.000000,112.470695,39.274228,0.000000
3103405,Araçuaí,MG,2236.278986,96.507839,0.000000,2139.771147,4.315555,0.000000
3104452,Aricanduva,MG,243.328833,2.252434,0.000000,241.076400,0.925675,0.000000
3104502,Arinos,MG,5279.419039,5279.419039,0.000000,0,100.000000,0.000000
3104700,Ataléia,MG,1836.944423,0.000000,0.000000,1836.944423,0.000000,0.000000
3105202,Bandeira,MG,483.788832,0.000000,0.000000,483.788832,0.000000,0.000000
3106507,Berilo,MG,587.105987,587.105987,0.000000,0,100.000000,0.000000
3106606,Bertópolis,MG,427.802226,0.000000,0.000000,427.802226,0.000000,0.000000
3106655,Berizal,MG,488.756118,0.000000,0.000000,488.756118,0.000000,0.000000
3107307,Bocaiúva,MG,3206.756748,3206.756748,0.000000,0.000000,100.000000,0.000000
3108206,Bonfinópolis de Minas,MG,1850.487365,1850.487365,0.000000,0,100.000000,0.000000
3108255,Bonito de Minas,MG,3936.455979,3936.455979,0.000000,0,100.000000,0.000000
3108503,Botumirim,MG,1568.884255,1568.884255,0.000000,0.000000,100.000000,0.000000
3108602,Brasília de Minas,MG,1399.484125,1336.293129,63.190996,0.000000,95.484694,4.515306
3108800,Braúnas,MG,378.318285,0.000000,0.000000,378.318285,0.000000,0.000000
3109402,Buritizeiro,MG,7218.401316,7218.401316,0.000000,0,100.000000,0.000000
3110806,Campanário,MG,442.398093,0.000000,0.000000,442.398093,0.000000,0.000000
3111150,Campo Azul,MG,505.913568,505.913568,0.000000,0.000000,100.000000,0.000000
3112059,Cantagalo,MG,141.854969,0.000000,0.000000,141.854969,0.000000,0.000000
3112307,Capelinha,MG,965.292179,560.167101,0.000000,405.125078,58.030834,0.000000
3112653,Capitão Andrade,MG,279.088435,0.000000,0.000000,279.088435,0.000000,0.000000
3112703,Capitão Enéas,MG,971.571645,0.000000,971.571645,0,0.000000,100.000000
3113008,Caraí,MG,1242.345393,0.000000,0.000000,1242.345393,0.000000,0.000000
3113503,Carbonita,MG,1456.082087,1456.082087,0.000000,0.000000,100.000000,0.000000
3113701,Carlos Chagas,MG,3202.983618,0.000000,0.000000,3202.983618,0.000000,0.000000
3113800,Carmésia,MG,259.103469,0.000000,0.000000,259.103469,0.000000,0.000000
3115458,Catuji,MG,419.379993,0.000000,0.000000,419.379993,0.000000,0.000000
3115474,Catuti,MG,287.812266,0.000000,287.812266,0.000000,0.000000,100.000000
3115706,Central de Minas,MG,204.328144,0.000000,0.000000,204.328144,0.000000,0.000000
3116100,Chapada do Norte,MG,830.833409,585.042320,0.000000,245.791088,70.416321,0.000000
3116159,Chapada Gaúcha,MG,3255.189291,3255.189291,0.000000,0.000000,100.000000,0.000000
3116506,Claro dos Poções,MG,720.424018,720.424018,0.000000,0,100.000000,0.000000
3116803,Coluna,MG,348.491778,0.000000,0.000000,348.491778,0.000000,0.000000
3117009,Comercinho,MG,654.960845,0.000000,0.000000,654.960845,0.000000,0.000000
3117836,Cônego Marinho,MG,1610.467360,1511.695338,98.772109,0,93.866872,6.133133
3118403,Conselheiro Pena,MG,1483.881792,0.000000,0.000000,1483.881792,0.000000,0.000000
3118809,Coração de Jesus,MG,2225.215987,2225.215987,0.000000,0,100.000000,0.000000
3119203,Coroaci,MG,576.273775,0.000000,0.000000,576.273775,0.000000,0.000000
3119500,Coronel Murta,MG,815.412915,153.475662,0.000000,661.937252,18.821834,0.000000
3120102,Couto de Magalhães de Minas,MG,485.653700,476.105349,0.000000,9.548351,98.033918,0.000000
3120151,Crisólita,MG,966.202256,0.000000,0.000000,966.202256,0.000000,0.000000
3120300,Cristália,MG,840.702267,840.702267,0.000000,0,100.000000,0.000000
3120839,Cuparaque,MG,226.750402,0.000000,0.000000,226.750402,0.000000,0.000000
3120870,Curral de Dentro,MG,570.949541,47.963481,0.000000,522.986060,8.400652,0.000000
3121001,Datas,MG,310.099117,310.099117,0.000000,0.000000,100.000000,0.000000
3121605,Diamantina,MG,3891.659296,3891.659296,0.000000,0.000000,100.000000,0.000000
3122108,Divino das Laranjeiras,MG,342.248806,0.000000,0.000000,342.248806,0.000000,0.000000
3122207,Divinolândia de Minas,MG,133.120076,0.000000,0.000000,133.120076,0.000000,0.000000
3122355,Divisa Alegre,MG,117.802213,0.000000,0.000000,117.802213,0.000000,0.000000
3122454,Divisópolis,MG,572.925701,0.000000,0.000000,572.925701,0.000000,0.000000
3122470,Dom Bosco,MG,817.383045,817.383045,0.000000,0.000000,100.000000,0.000000
3123106,Dores de Guanhães,MG,382.123629,0.000000,0.000000,382.123629,0.000000,0.000000
3123700,Engenheiro Caldas,MG,187.058483,0.000000,0.000000,187.058483,0.000000,0.000000
3123809,Engenheiro Navarro,MG,608.305808,608.305808,0.000000,0,100.000000,0.000000
3124302,Espinosa,MG,1868.969240,267.345529,1601.623711,0.000000,14.304437,85.695563
3125408,Felício dos Santos,MG,357.621552,342.674223,0.000000,14.947329,95.820350,0.000000
3125507,São Gonçalo do Rio Preto,MG,314.458125,314.458125,0.000000,0.000000,100.000000,0.000000
3125606,Felisburgo,MG,596.215055,0.000000,0.000000,596.215055,0.000000,0.000000
3125804,Fernandes Tourinho,MG,151.874560,0.000000,0.000000,151.874560,0.000000,0.000000
3126208,Formoso,MG,3686.004392,3686.004392,0.000000,0,100.000000,0.000000
3126505,Francisco Badaró,MG,461.481239,275.112773,0.000000,186.368465,59.615159,0.000000
3126604,Francisco Dumont,MG,1576.128396,1576.128396,0.000000,0,100.000000,0.000000
3126703,Francisco Sá,MG,2747.299523,1112.055398,1635.244125,0,40.478127,59.521873
3126752,Franciscópolis,MG,717.086728,0.000000,0.000000,717.086728,0.000000,0.000000
3126802,Frei Gaspar,MG,626.672083,0.000000,0.000000,626.672083,0.000000,0.000000
3126901,Frei Inocêncio,MG,469.556988,0.000000,0.000000,469.556988,0.000000,0.000000
3126950,Frei Lagonegro,MG,167.473842,0.000000,0.000000,167.473842,0.000000,0.000000
3127057,Fronteira dos Vales,MG,320.757375,0.000000,0.000000,320.757375,0.000000,0.000000
3127073,Fruta de Leite,MG,762.836596,715.272016,0.000000,47.564580,93.764775,0.000000
3127305,Galiléia,MG,720.354876,0.000000,0.000000,720.354876,0.000000,0.000000
3127339,Gameleiras,MG,1733.202626,0.000000,1733.202626,0,0.000000,100.000000
3127354,Glaucilândia,MG,145.860956,145.860956,0.000000,0.000000,100.000000,0.000000
3127370,Goiabeira,MG,112.442569,0.000000,0.000000,112.442569,0.000000,0.000000
3127503,Gonzaga,MG,209.347545,0.000000,0.000000,209.347545,0.000000,0.000000
3127701,Governador Valadares,MG,2342.327444,0.000000,0.000000,2342.327444,0.000000,0.000000
3127800,Grão Mogol,MG,3885.293894,3885.293894,0.000000,0.000000,100.000000,0.000000
3128006,Guanhães,MG,1075.123727,0.000000,0.000000,1075.123727,0.000000,0.000000
3128253,Guaraciama,MG,390.262972,390.262972,0.000000,0,100.000000,0.000000
3129608,Ibiaí,MG,874.759796,874.759796,0.000000,0,100.000000,0.000000
3129657,Ibiracatu,MG,353.257294,176.095644,177.161651,0.000000,49.849118,50.150882
3130051,Icaraí de Minas,MG,625.664310,625.538960,0.125350,0.000000,99.979965,0.020035
3130556,Imbé de Minas,MG,196.734966,0.000000,0.000000,196.734966,0.000000,0.000000
3130655,Indaiabira,MG,1004.148505,952.193539,0.000000,51.954966,94.825968,0.000000
3130903,Inhapim,MG,858.024439,0.000000,0.000000,858.024439,0.000000,0.000000
3131802,Itabirinha,MG,209.033835,0.000000,0.000000,209.033835,0.000000,0.000000
3132008,Itacambira,MG,1788.445289,1788.445289,0.000000,0.000000,100.000000,0.000000
3132107,Itacarambi,MG,1225.273807,243.158851,982.114957,0,19.845266,80.154734
3132305,Itaipé,MG,480.829339,0.000000,0.000000,480.829339,0.000000,0.000000
3132503,Itamarandiba,MG,2735.572903,1807.030253,0.000000,928.542651,66.056739,0.000000
3132701,Itambacuri,MG,1419.209365,0.000000,0.000000,1419.209365,0.000000,0.000000
3133204,Itanhomi,MG,488.842886,0.000000,0.000000,488.842886,0.000000,0.000000
3133303,Itaobim,MG,679.023712,0.000000,0.000000,679.023712,0.000000,0.000000
3134004,Itinga,MG,1649.621866,0.000000,0.000000,1649.621866,0.000000,0.000000
3134103,Itueta,MG,452.675804,0.000000,0.000000,452.675804,0.000000,0.000000
3134707,Jacinto,MG,1393.609052,0.000000,0.000000,1393.609052,0.000000,0.000000
3135050,Jaíba,MG,2635.463703,0.000000,2635.463703,0.000000,0.000000,100.000000
3135076,Jampruca,MG,517.095246,0.000000,0.000000,517.095246,0.000000,0.000000
3135100,Janaúba,MG,2181.344777,114.057855,2067.286922,0,5.228786,94.771214
3135209,Januária,MG,6661.590478,5373.233454,1288.356936,0.000088,80.659919,19.340080
3135357,Japonvar,MG,375.180880,190.702658,184.478222,0.000000,50.829525,49.170475
3135456,Jenipapo de Minas,MG,284.452903,86.953376,0.000000,197.499527,30.568637,0.000000
3135605,Jequitaí,MG,1268.442717,1268.442717,0.000000,0,100.000000,0.000000
3135803,Jequitinhonha,MG,3514.215726,0.000000,0.000000,3514.215726,0.000000,0.000000
3136009,Joaíma,MG,1664.189605,0.000000,0.000000,1664.189605,0.000000,0.000000
3136504,Jordânia,MG,546.705327,0.000000,0.000000,546.705327,0.000000,0.000000
3136520,José Gonçalves de Minas,MG,381.332012,381.332012,0.000000,0,100.000000,0.000000
3136553,José Raydan,MG,180.821876,0.000000,0.000000,180.821876,0.000000,0.000000
3136579,Josenópolis,MG,541.393232,541.393232,0.000000,0.000000,100.000000,0.000000
3136801,Juramento,MG,431.629569,431.629569,0.000000,0.000000,100.000000,0.000000
