codigo_ibge,municipio,uf,area_municipal_equal_area_km2,area_contato_direto_st_km2,area_contato_composto_stn_km2,area_contato_total_cerrado_caatinga_km2,percentual_contato_total_cerrado_caatinga
3127073,Fruta de Leite,MG,762.836596,0.000000,0.000000,0.000000,0.000000
3127305,Galiléia,MG,720.354876,0.000000,0.000000,0.000000,0.000000
3127339,Gameleiras,MG,1733.202626,0.000000,175.253098,175.253098,10.111518
3127354,Glaucilândia,MG,145.860956,0.000000,0.000000,0.000000,0.000000
3127370,Goiabeira,MG,112.442569,0.000000,0.000000,0.000000,0.000000
3127503,Gonzaga,MG,209.347545,0.000000,0.000000,0.000000,0.000000
3127701,Governador Valadares,MG,2342.327444,0.000000,0.000000,0.000000,0.000000
3127800,Grão Mogol,MG,3885.293894,0.000000,0.000000,0.000000,0.000000
3128006,Guanhães,MG,1075.123727,0.000000,0.000000,0.000000,0.000000
3128253,Guaraciama,MG,390.262972,0.000000,0.000000,0.000000,0.000000
3129608,Ibiaí,MG,874.759796,0.000000,0.000000,0.000000,0.000000
3129657,Ibiracatu,MG,353.257294,0.000000,0.000000,0.000000,0.000000
3130051,Icaraí de Minas,MG,625.664310,0.000000,0.000000,0.000000,0.000000
3130556,Imbé de Minas,MG,196.734966,0.000000,0.000000,0.000000,0.000000
3130655,Indaiabira,MG,1004.148505,0.000000,0.000000,0.000000,0.000000
3130903,Inhapim,MG,858.024439,0.000000,0.000000,0.000000,0.000000
3131802,Itabirinha,MG,209.033835,0.000000,0.000000,0.000000,0.000000
3132008,Itacambira,MG,1788.445289,0.000000,0.000000,0.000000,0.000000
3132107,Itacarambi,MG,1225.273807,0.000000,0.000000,0.000000,0.000000
3132305,Itaipé,MG,480.829339,0.000000,0.000000,0.000000,0.000000
3132503,Itamarandiba,MG,2735.572903,0.000000,0.000000,0.000000,0.000000
3132701,Itambacuri,MG,1419.209365,0.000000,0.000000,0.000000,0.000000
3133204,Itanhomi,MG,488.842886,0.000000,0.000000,0.000000,0.000000
3133303,Itaobim,MG,679.023712,0.000000,0.000000,0.000000,0.000000
3134004,Itinga,MG,1649.621866,0.000000,0.000000,0.000000,0.000000
3134103,Itueta,MG,452.675804,0.000000,0.000000,0.000000,0.000000
3134707,Jacinto,MG,1393.609052,0.000000,0.000000,0.000000,0.000000
3135050,Jaíba,MG,2635.463703,0.000000,0.000000,0.000000,0.000000
3135076,Jampruca,MG,517.095246,0.000000,0.000000,0.000000,0.000000
3135100,Janaúba,MG,2181.344777,0.000000,0.000000,0.000000,0.000000
3135209,Januária,MG,6661.590478,0.000000,0.000000,0.000000,0.000000
3135357,Japonvar,MG,375.180880,0.000000,0.000000,0.000000,0.000000
3135456,Jenipapo de Minas,MG,284.452903,0.000000,0.000000,0.000000,0.000000
3135605,Jequitaí,MG,1268.442717,0.000000,0.000000,0.000000,0.000000
3135803,Jequitinhonha,MG,3514.215726,0.000000,0.000000,0.000000,0.000000
3136009,Joaíma,MG,1664.189605,0.000000,0.000000,0.000000,0.000000
3136504,Jordânia,MG,546.705327,0.000000,0.000000,0.000000,0.000000
3136520,José Gonçalves de Minas,MG,381.332012,0.000000,0.000000,0.000000,0.000000
3136553,José Raydan,MG,180.821876,0.000000,0.000000,0.000000,0.000000
3136579,Josenópolis,MG,541.393232,0.000000,0.000000,0.000000,0.000000
3136801,Juramento,MG,431.629569,0.000000,0.000000,0.000000,0.000000
3136959,Juvenília,MG,1064.684291,0.000000,0.000000,0.000000,0.000000
3137007,Ladainha,MG,866.289565,0.000000,0.000000,0.000000,0.000000
3137304,Lagoa dos Patos,MG,600.546773,0.000000,0.000000,0.000000,0.000000
3138104,Lassance,MG,3204.216859,0.000000,0.000000,0.000000,0.000000
3138351,Leme do Prado,MG,280.036123,0.000000,0.000000,0.000000,0.000000
3138658,Lontra,MG,258.924798,0.000000,0.000000,0.000000,0.000000
3138682,Luislândia,MG,411.714354,0.000000,0.000000,0.000000,0.000000
3138906,Machacalis,MG,332.377882,0.000000,0.000000,0.000000,0.000000
3139201,Malacacheta,MG,727.885771,0.000000,0.000000,0.000000,0.000000
3139250,Mamonas,MG,284.365300,0.000000,52.568442,52.568442,18.486237
3139300,Manga,MG,1950.189192,0.000000,0.000000,0.000000,0.000000
3139607,Mantena,MG,685.207834,0.000000,0.000000,0.000000,0.000000
3140100,Marilac,MG,158.809072,0.000000,0.000000,0.000000,0.000000
3140555,Mata Verde,MG,227.538924,0.000000,0.000000,0.000000,0.000000
3140605,Materlândia,MG,280.530487,0.000000,0.000000,0.000000,0.000000
3140852,Matias Cardoso,MG,1940.590050,0.000000,0.000000,0.000000,0.000000
3141009,Mato Verde,MG,472.245302,0.000000,0.000000,0.000000,0.000000
3141405,Medina,MG,1435.903424,0.000000,0.000000,0.000000,0.000000
3141504,Mendes Pimentel,MG,305.507474,0.000000,0.000000,0.000000,0.000000
3141801,Minas Novas,MG,1812.398034,0.000000,0.000000,0.000000,0.000000
3142007,Mirabela,MG,723.276874,0.000000,0.000000,0.000000,0.000000
3142254,Miravânia,MG,602.128227,0.000000,0.000000,0.000000,0.000000
3142700,Montalvânia,MG,1503.757152,0.000000,0.000000,0.000000,0.000000
