codigo_ibge,municipio_malha,uf,registro_shp,tipo_geometria,partes,pontos,xmin,ymin,xmax,ymax,anel_fechado_e_coordenadas_validas
3120151,CrisÃ³lita,MG,222,5,1,3384,-41.208637999999915,-17.37734199699995,-40.746293999999956,-17.107599996999987,True
3120300,CristÃ¡lia,MG,224,5,1,3062,-43.004239999999974,-16.87406499699998,-42.60050699999997,-16.543135997,True
3120839,Cuparaque,MG,230,5,1,1298,-41.23780399999994,-19.08769299599996,-41.016826561999956,-18.890605889999943,True
3120870,Curral de Dentro,MG,231,5,1,2078,-41.916982999999966,-15.97851999699996,-41.582358999999975,-15.735991996999896,True
3121001,Datas,MG,233,5,1,2300,-43.736467999999924,-18.65474999699993,-43.57039399999999,-18.299740996999923,True
3121605,Diamantina,MG,240,5,1,10514,-44.08835399999999,-18.44659199699988,-43.217603999999916,-17.378861996999948,True
3122108,Divino das Laranjeiras,MG,245,5,1,1763,-41.596188999999946,-18.818272996999905,-41.37395899999998,-18.581511996999964,True
3122207,DivinolÃ¢ndia de Minas,MG,246,5,1,1288,-42.641945999999926,-18.87652799699998,-42.47447499999996,-18.724211996999927,True
3122355,Divisa Alegre,MG,248,5,1,748,-41.428555999999986,-15.801226996999915,-41.32726499999998,-15.623416996999904,True
3122454,DivisÃ³polis,MG,250,5,1,1880,-41.15135899999995,-15.895194997000015,-40.71504299999999,-15.64600704899993,True
3122470,Dom Bosco,MG,251,5,1,3335,-46.471652999999975,-16.940994996,-46.138620999999986,-16.54474999599996,True
3123106,Dores de GuanhÃ£es,MG,258,5,1,2487,-43.091097999999946,-19.160936995999975,-42.74735299999996,-18.907265995999953,True
3123700,Engenheiro Caldas,MG,265,5,1,1998,-42.1166689999999,-19.25351299599992,-41.93465399999995,-18.985727996999966,True
3123809,Engenheiro Navarro,MG,266,5,1,2858,-44.16121999999999,-17.44968899699991,-43.832947999999945,-17.146228996999966,True
3124302,Espinosa,MG,272,5,1,3673,-43.486964284999914,-15.159807996999994,-42.515675623999996,-14.649533274999946,True
3125408,FelÃ­cio dos Santos,MG,283,5,1,1851,-43.32117099999994,-18.275394997000003,-43.136835999999974,-18.01938099699992,True
3125507,SÃ£o GonÃ§alo do Rio Preto,MG,284,5,1,1899,-43.44974599999995,-18.239678996999906,-43.28020899999993,-17.937226996999964,True
3125606,Felisburgo,MG,285,5,1,2705,-40.89104199999999,-16.843862996999945,-40.579062999999955,-16.48115999599998,True
3125804,Fernandes Tourinho,MG,287,5,1,1233,-42.17778699999998,-19.18981899599995,-42.0233269999999,-19.02390499699994,True
3126208,Formoso,MG,292,5,1,4280,-46.566281778999944,-15.441690996999977,-45.593695000000004,-14.703025896999975,True
3126505,Francisco BadarÃ³,MG,295,5,1,2405,-42.431147999999936,-17.11903899600001,-42.15354399999997,-16.854678996999937,True
3126604,Francisco Dumont,MG,296,5,1,4330,-44.47046399999996,-17.706591997000007,-44.07762799999998,-17.161770996999923,True
3126703,Francisco SÃ¡,MG,297,5,1,4833,-43.76172499999999,-16.81576699699999,-43.131637999999946,-16.072189996999917,True
3126752,FranciscÃ³polis,MG,298,5,1,2560,-42.15030399999994,-18.149058996999976,-41.792536000000005,-17.84815699699994,True
3126802,Frei Gaspar,MG,299,5,1,2640,-41.662030999999914,-18.281808996999924,-41.36360199999995,-17.999595995999993,True
3126901,Frei InocÃªncio,MG,300,5,1,2609,-42.04879099999996,-18.666621995999986,-41.692538999999954,-18.37738699599992,True
3126950,Frei Lagonegro,MG,301,5,1,1156,-42.831123999999946,-18.21389999599999,-42.675065,-18.080408995999928,True
3127057,Fronteira dos Vales,MG,303,5,1,1568,-40.96629999999994,-16.975616996999996,-40.70907700000001,-16.804643997,True
3127073,Fruta de Leite,MG,304,5,1,3065,-42.706123999999974,-16.3080379969999,-42.34205199999998,-15.951569996999968,True
3127305,GalilÃ©ia,MG,307,5,1,2941,-41.713424999999944,-19.037588996999908,-41.341483,-18.7422209969999,True
3127339,Gameleiras,MG,308,5,1,4018,-43.53957799999996,-15.18665999699996,-42.983984999999976,-14.776883996999999,True
3127354,GlaucilÃ¢ndia,MG,309,5,1,1272,-43.702113999999895,-16.989393997000022,-43.566739999999996,-16.80878299699998,True
3127370,Goiabeira,MG,310,5,1,995,-41.28782599999995,-19.122564995999944,-41.15832499999989,-18.958991996999917,True
3127503,Gonzaga,MG,313,5,1,1692,-42.579185999999964,-18.962723996999973,-42.39049899999998,-18.77673499699993,True
3127701,Governador Valadares,MG,315,5,1,6028,-42.339694999999914,-19.038402996999935,-41.539733999999946,-18.551464996999965,True
3127800,GrÃ£o Mogol,MG,316,5,1,8297,-43.49460499999999,-16.81468899699997,-42.45399699999998,-16.13309199599998,True
3128006,GuanhÃ£es,MG,318,5,1,5281,-43.06256299999999,-19.096762995999903,-42.55543499999989,-18.614969995999928,True
3128253,Guaraciama,MG,321,5,1,1996,-43.719709999999985,-17.208376996999917,-43.488375999999924,-16.92730799699996,True
3129608,IbiaÃ­,MG,335,5,1,3463,-45.02029699999996,-16.991810996999988,-44.60827299999998,-16.67363499699995,True
3129657,Ibiracatu,MG,336,5,1,2432,-44.277945999999986,-15.828577996999957,-44.029390999999954,-15.473486996999917,True
3130051,IcaraÃ­ de Minas,MG,341,5,1,2739,-45.080230999999955,-16.384449996999937,-44.65877199999994,-16.072672996999913,True
3130556,ImbÃ© de Minas,MG,347,5,1,1565,-42.05320299999997,-19.734115995999932,-41.88836999999996,-19.537965996000004,True
3130655,Indaiabira,MG,349,5,1,2676,-42.322652999999924,-15.746310996999977,-41.93220099999994,-15.38133199699999,True
3130903,Inhapim,MG,352,5,1,4405,-42.24418599999994,-19.623704995999933,-41.651889999999995,-19.34355599599998,True
3131802,Itabirinha,MG,362,5,1,1653,-41.32056600000002,-18.66062499699993,-41.15801300000001,-18.44240599700001,True
3132008,Itacambira,MG,364,5,1,4579,-43.567508999999944,-17.180060996999966,-43.11927899999991,-16.64158299699997,True
3132107,Itacarambi,MG,365,5,1,4680,-44.48718599999994,-15.505194996999947,-43.92482699999995,-14.90709399699993,True
3132305,ItaipÃ©,MG,367,5,1,2050,-41.76783699999992,-17.602130996999996,-41.564510999999996,-17.232891995999964,True
3132503,Itamarandiba,MG,369,5,1,6421,-43.158569999999955,-18.153556995999995,-42.58628499999998,-17.543139995999955,True
3132701,Itambacuri,MG,371,5,1,4788,-42.091106,-18.458882995999968,-41.567705999999944,-17.895199996999942,True
3133204,Itanhomi,MG,376,5,1,2972,-42.00613099999996,-19.27360899599991,-41.63361199999997,-19.021906997000002,True
3133303,Itaobim,MG,377,5,1,2452,-41.682280999999946,-16.73022299699994,-41.354473000000006,-16.424900996999945,True
3134004,Itinga,MG,385,5,1,4078,-42.105416999999896,-16.86688299599993,-41.604317000000016,-16.330998995999977,True
3134103,Itueta,MG,386,5,1,2247,-41.29535299999995,-19.495285995999954,-40.90769270299994,-19.251176753999975,True
3134707,Jacinto,MG,392,5,1,3869,-40.49777999999994,-16.46121799699994,-40.13510699999998,-15.92820299699996,True
3135050,JaÃ­ba,MG,396,5,1,5067,-44.07183999999999,-15.531585996999961,-43.309298999999974,-14.967926996999967,True
3135076,Jampruca,MG,397,5,1,2803,-41.94419299999998,-18.61216999699998,-41.57332499999999,-18.344474996999924,True
3135100,JanaÃºba,MG,398,5,1,4970,-43.63298399999992,-16.13333899699999,-43.20426999999995,-15.327135996999939,True
3135209,JanuÃ¡ria,MG,399,5,1,10796,-45.620459999999966,-15.809397996999994,-44.10047899999993,-14.831369053999897,True
3135357,Japonvar,MG,401,5,1,2262,-44.439475,-16.08171499699994,-44.201485999999974,-15.785141996999972,True
3135456,Jenipapo de Minas,MG,403,5,1,1858,-42.34728699999996,-17.316218996999986,-42.079142999999966,-17.057015996999922,True
3135605,JequitaÃ­,MG,405,5,1,3744,-44.68784599999999,-17.456942996999967,-44.267970999999946,-16.94552599699991,True
3135803,Jequitinhonha,MG,407,5,1,6398,-41.47179600000001,-16.74845499599998,-40.644363999999925,-16.055097995999965,True
3136009,JoaÃ­ma,MG,409,5,1,4374,-41.29229,-17.049655996999977,-40.68871899999992,-16.546291996000004,True
3136504,JordÃ¢nia,MG,414,5,1,1601,-40.519769131999986,-15.994870996999975,-40.110835999999956,-15.753231736999993,True
3136520,JosÃ© GonÃ§alves de Minas,MG,415,5,1,1718,-42.76108899999997,-17.044599996999974,-42.53742500000001,-16.755780996999956,True
3136553,JosÃ© Raydan,MG,416,5,1,1763,-42.58178000000001,-18.35657299699994,-42.395241999999925,-18.16031599699995,True
3136579,JosenÃ³polis,MG,417,5,1,1983,-42.67742699999994,-16.662390996999896,-42.398867999999915,-16.3790489969999,True
3136801,Juramento,MG,421,5,1,2208,-43.697947999999904,-16.993995996999942,-43.433673999999925,-16.710689996999992,True
3136959,JuvenÃ­lia,MG,423,5,1,2721,-44.337326999999966,-14.565225996999995,-43.78318673300001,-14.233180665999932,True
3137007,Ladainha,MG,424,5,1,3001,-42.04811099999991,-17.770844996999955,-41.628533999999924,-17.44206999699994,True
3137304,Lagoa dos Patos,MG,427,5,1,3043,-44.840934999999966,-17.168127996999925,-44.480143999999925,-16.856500996999966,True
3138104,Lassance,MG,436,5,1,6141,-45.12608299999991,-18.152509996999964,-44.27641699999995,-17.59969499699997,True
3138351,Leme do Prado,MG,439,5,1,1584,-42.825722999999996,-17.183707995999917,-42.62725399999995,-16.94281899699993,True
3138658,Lontra,MG,444,5,1,1515,-44.377489999999945,-15.938279996999913,-44.169619999999924,-15.743229996999961,True
3138682,LuislÃ¢ndia,MG,446,5,1,2048,-44.71973599999998,-16.33654699700001,-44.48589399999997,-16.058009996999942,True
3138906,Machacalis,MG,449,5,1,1609,-40.80843999999992,-17.212225996999972,-40.612338999999956,-16.95784399699992,True
3139201,Malacacheta,MG,452,5,1,2760,-42.28164199999995,-18.01562999699998,-41.90897499999996,-17.697579996999977,True
3139250,Mamonas,MG,453,5,1,1574,-43.03955341099998,-15.135392999999961,-42.84993699999992,-14.892942996999956,True
3139300,Manga,MG,454,5,1,4399,-44.39807899999996,-14.978729996999949,-43.8184269339999,-14.361723996999984,True
3139607,Mantena,MG,457,5,1,1758,-41.26521599999997,-18.84231097699992,-40.915921866999945,-18.522372996999934,True
3140100,Marilac,MG,462,5,1,1515,-42.14780599999994,-18.584023996999974,-41.97204599999999,-18.416045995999983,True
3140555,Mata Verde,MG,469,5,1,1211,-40.81889399999998,-15.886874996999953,-40.59791099999998,-15.647621016999977,True
3140605,MaterlÃ¢ndia,MG,470,5,1,2276,-43.169023000000024,-18.570019995999907,-42.86936599999997,-18.36407799699998,True
3140852,Matias Cardoso,MG,473,5,1,2787,-44.01998299999993,-15.113289996999999,-43.49522399999996,-14.562141979999996,True
3141009,Mato Verde,MG,475,5,1,2365,-43.03962899999993,-15.610063996999965,-42.74406899999993,-15.303505996999931,True
3141405,Medina,MG,479,5,1,4743,-41.72300599999998,-16.577970995999944,-41.277296,-16.045934996999964,True
3141504,Mendes Pimentel,MG,480,5,1,1798,-41.49069099999993,-18.716272996999948,-41.24704799999998,-18.496194996999957,True
3141801,Minas Novas,MG,483,5,1,4666,-42.6985799999999,-17.613666995999964,-42.08613399999994,-17.096601996999947,True
3142007,Mirabela,MG,485,5,1,2357,-44.309335,-16.424871995999943,-43.98063499999997,-16.091949996999997,True
3142254,MiravÃ¢nia,MG,488,5,1,2082,-44.54596099999996,-14.90709399699993,-44.28430399999998,-14.59308499699997,True
3142700,MontalvÃ¢nia,MG,493,5,1,2418,-44.751184999999985,-14.703398996999937,-44.233595999999956,-14.240349149999929,True
3142908,Monte Azul,MG,495,5,1,3929,-43.27100599999991,-15.398443996999998,-42.75499199999999,-15.037264997000008,True
3143153,Monte Formoso,MG,498,5,1,1726,-41.37024799999997,-17.015476996999954,-41.139357999999966,-16.748452996999994,True
3143302,Montes Claros,MG,500,5,1,8682,-44.21091599999995,-17.145791996999957,-43.665910999999916,-16.084037995999942,True
3143450,Montezuma,MG,502,5,1,2587,-42.65657899999999,-15.429736996999974,-42.25658799999998,-14.982924647999916,True
3144003,Mutum,MG,508,5,1,3795,-41.64856699999994,-20.206101789999895,-41.273453999999994,-19.658291995999964,True
3144201,Nacip Raydan,MG,510,5,1,1784,-42.27715699999994,-18.58788299599997,-42.09114599999994,-18.38381899599991,True
3144300,Nanuque,MG,511,5,1,2969,-40.79846883899993,-18.023885389999936,-40.211918378999925,-17.447381490999945,True
3144359,Naque,MG,512,5,1,853,-42.40215499999992,-19.23954499599999,-42.24728499999994,-19.11199799599995,True
3144375,NatalÃ¢ndia,MG,513,5,1,2124,-46.58806500000001,-16.706785995999915,-46.373570000000015,-16.37115199600002,True
3144656,Ninheira,MG,517,5,1,2127,-41.884773999999965,-15.527786996999957,-41.36425547499993,-15.100289431999911,True
3144672,Nova BelÃ©m,MG,518,5,1,513,-41.1881799999999,-18.537855996999983,-41.01565078999993,-18.43957923299998,True
3144904,Nova MÃ³dica,MG,521,5,1,1775,-41.6355809999999,-18.581511996999964,-41.414097999999925,-18.296451996999927,True
3145059,Nova Porteirinha,MG,523,5,1,1326,-43.317040414999944,-15.830924694999968,-43.232310999999974,-15.606000996999967,True
3145307,Novo Cruzeiro,MG,526,5,1,4083,-42.211925999999984,-17.656414996999956,-41.733087,-17.072829996999914,True
3145356,Novo Oriente de Minas,MG,527,5,1,3468,-41.35140099999994,-17.447820996999983,-41.07154399999999,-17.032529996999966,True
3145372,Novorizonte,MG,528,5,1,1694,-42.529346,-16.110149995999965,-42.28547999999998,-15.897486822999927,True
3145455,Olhos-d'Ãgua,MG,530,5,1,5818,-43.81594699999997,-17.89012899699994,-43.27985299999996,-17.206494996999897,True
3146206,Ouro Verde de Minas,MG,540,5,1,1239,-41.37931399999994,-18.114387996999923,-41.216752999999976,-17.94969999599992,True
3146255,Padre Carvalho,MG,541,5,1,2429,-42.72569799999994,-16.4569429969999,-42.46996699999991,-16.161413996999983,True
3146305,Padre ParaÃ­so,MG,542,5,1,2181,-41.68768899999994,-17.207499996000006,-41.38474899999995,-16.913106995999936,True
3146552,Pai Pedro,MG,545,5,1,3775,-43.33209399999999,-15.617178996999979,-42.91222099999993,-15.081515996999926,True
3146750,PalmÃ³polis,MG,548,5,1,1059,-40.48373899999992,-16.90931920799997,-40.24690705899997,-16.648143996999973,True
3147956,Patis,MG,560,5,1,1597,-44.23569599999998,-16.20590699699994,-43.969100999999995,-15.970541996999952,True
3148400,Paulistas,MG,565,5,1,1525,-42.93078699999999,-18.56762599599998,-42.80037199999997,-18.34128499599995,True
3148509,PavÃ£o,MG,566,5,1,3098,-41.257520999999926,-17.60675199699998,-40.918910000000004,-17.322070996999948,True
3148608,PeÃ§anha,MG,567,5,1,3887,-42.720602,-18.74462099699997,-42.35162499999998,-18.33263499699994,True
3148707,Pedra Azul,MG,568,5,1,3580,-41.457386000000014,-16.17179699699994,-40.907461999999946,-15.736684985999947,True
3149150,Pedras de Maria da Cruz,MG,574,5,1,4805,-44.68332999999999,-15.903583996999924,-44.02981599999995,-15.259779996999931,True
3149952,Periquito,MG,583,5,1,1470,-42.35681499999996,-19.187274995999957,-42.13169499999997,-18.982444996999934,True
3150000,Pescador,MG,584,5,1,1708,-41.69092399999991,-18.43350099699995,-41.4183399999999,-18.240183996999946,True
3150158,Piedade de Caratinga,MG,586,5,1,822,-42.09593099999999,-19.838392995999996,-41.99644099999997,-19.686438995999964,True
3150570,PintÃ³polis,MG,592,5,1,3300,-45.437633999999974,-16.27368299699997,-45.04120899999997,-15.842961996999936,True
3151206,Pirapora,MG,599,5,1,1872,-44.987523999999915,-17.555030996999985,-44.74403999999998,-17.203573996999975,True
3152131,Ponto Chique,MG,609,5,1,2710,-45.12062399999996,-16.758348996999892,-44.798291999999954,-16.45165899699995,True
3152170,Ponto dos Volantes,MG,610,5,1,3842,-41.75986399999997,-17.06099799599997,-41.272129999999954,-16.621998996999974,True
3152204,Porteirinha,MG,611,5,1,6206,-43.315137999999926,-16.166688995999987,-42.76874299999999,-15.327135996999939,True
3152402,PotÃ©,MG,613,5,1,2981,-41.99018099999991,-17.940467996999896,-41.60166,-17.672024996999944,True
3154309,Resplendor,MG,633,5,1,2455,-41.38391799999994,-19.38023799599998,-40.922667741999966,-19.056471562999953,True
3154457,Riachinho,MG,635,5,1,4924,-46.27631099999993,-16.53057899699993,-45.65150199999996,-16.015080996999895,True
3154507,Riacho dos Machados,MG,636,5,1,5195,-43.27029199999998,-16.289145996999963,-42.70335899999999,-15.797264996999925,True
3155108,Rio do Prado,MG,642,5,1,2125,-40.682086,-16.843458997000003,-40.4328849999999,-16.524353996999928,True
3155603,Rio Pardo de Minas,MG,647,5,1,5867,-42.81400299999999,-16.158274996999964,-42.193158000000004,-15.389478996999948,True
3156007,Rio Vermelho,MG,651,5,1,3689,-43.27440899999992,-18.429531997,-42.86370299999992,-18.068035995999896,True
3156502,Rubelita,MG,657,5,1,3619,-42.49286299999994,-16.496102995999937,-41.89274899999999,-16.22791899699992,True
3156601,Rubim,MG,658,5,1,3124,-40.67524299999993,-16.691476996999963,-40.34896099999995,-16.192179995999965,True
3156809,SabinÃ³polis,MG,660,5,1,3695,-43.24670999999995,-18.863740995999887,-42.85125999999996,-18.43565099699994,True
3157005,Salinas,MG,662,5,1,5059,-42.424863999999936,-16.321631996999972,-41.84365399999994,-15.849264996999999,True
3157104,Salto da Divisa,MG,663,5,1,1764,-40.22936899999998,-16.347829499999964,-39.85682889099992,-15.897042708999951,True
3157252,Santa BÃ¡rbara do Leste,MG,665,5,1,1112,-42.16914799999991,-20.01907699599995,-42.02038999999999,-19.884833995999927,True
3157377,Santa Cruz de Salinas,MG,669,5,1,2662,-41.93584599999999,-16.18576699699995,-41.615204999999925,-15.906408996999986,True
3157500,Santa EfigÃªnia de Minas,MG,671,5,1,1086,-42.46712599999995,-18.927639996999943,-42.32676699999997,-18.79924299699992,True
3157609,Santa FÃ© de Minas,MG,672,5,1,5143,-46.01598999999991,-16.963556996999927,-45.10086899999994,-16.50285299699995,True
