codigo_ibge,municipio_malha,uf,registro_shp,tipo_geometria,partes,pontos,xmin,ymin,xmax,ymax,anel_fechado_e_coordenadas_validas
3164209,SÃ£o RomÃ£o,MG,753,5,1,5360,-45.83061699999995,-16.611917996999956,-45.03811899999992,-16.096082996999925,True
3164472,SÃ£o SebastiÃ£o do Anta,MG,757,5,1,800,-42.00630599999997,-19.565083995999952,-41.87801699999991,-19.445788995999944,True
3164506,SÃ£o SebastiÃ£o do MaranhÃ£o,MG,758,5,1,2363,-42.70310199999995,-18.19077399699994,-42.41800899999994,-17.900214995999928,True
3165503,SardoÃ¡,MG,768,5,1,1323,-42.50464199999994,-18.827607996999927,-42.30128299999995,-18.73365199700002,True
3165552,Setubinha,MG,770,5,1,2594,-42.28823099999996,-17.77756499699997,-41.98070099999997,-17.441621997,True
3165909,Senador Modestino GonÃ§alves,MG,776,5,1,3108,-43.40817699999999,-18.108846996999937,-43.10685999999998,-17.561467996999944,True
3166105,Senhora do Porto,MG,778,5,1,1816,-43.208972999999965,-19.035450996999934,-42.972223999999954,-18.78974999599997,True
3166501,Serra Azul de Minas,MG,782,5,1,1612,-43.33640599999999,-18.482111996999926,-43.100400999999984,-18.29896499699993,True
3166709,Serra dos AimorÃ©s,MG,784,5,1,728,-40.34910903099995,-17.89494509499999,-40.17412729099991,-17.611999929999964,True
3166956,SerranÃ³polis de Minas,MG,787,5,1,2788,-43.02088399999999,-16.054079995999935,-42.72157999999992,-15.686666996999996,True
3167103,Serro,MG,789,5,1,4513,-43.60908900000002,-18.75973199699997,-43.185581999999926,-18.275490996999952,True
3167707,SobrÃ¡lia,MG,795,5,1,1370,-42.23235799999998,-19.328445995999974,-42.0707219999999,-19.12077599599998,True
3168002,Taiobeiras,MG,798,5,1,3059,-42.327553999999985,-16.016307996999988,-41.85869799999999,-15.620428996999944,True
3168051,Taparuba,MG,799,5,1,1239,-41.68765699999996,-19.832076995999923,-41.495326999999996,-19.666554995999928,True
3168408,Tarumirim,MG,803,5,1,3059,-42.12003099999998,-19.436310995999992,-41.68342599999992,-19.14006699599998,True
3168606,TeÃ³filo Otoni,MG,805,5,1,7003,-41.67236899999997,-18.04181399600001,-41.04019599999999,-17.33022999599992,True
3169505,Tumiritinga,MG,816,5,1,2892,-41.93734699999993,-19.181045995999977,-41.522729,-18.89639699599993,True
3169703,Turmalina,MG,818,5,1,4681,-43.08352199999998,-17.500980995999935,-42.55853799999995,-17.016850995999953,True
3170008,UbaÃ­,MG,821,5,1,3200,-45.07432999999993,-16.551950996999985,-44.66657199999997,-16.178164996999964,True
3170057,Ubaporanga,MG,822,5,1,1610,-42.166983999999914,-19.74107899599998,-41.95643399999992,-19.591812995999955,True
3170305,Umburatiba,MG,825,5,1,1330,-40.783563999999934,-17.396351996999968,-40.54775090099999,-17.14959624499995,True
3170479,Uruana de Minas,MG,828,5,1,2487,-46.46324087999993,-16.321457995999964,-46.18362599999994,-15.87516585099996,True
3170529,Urucuia,MG,830,5,1,5047,-45.91771899999994,-16.32534099699999,-45.30392099999993,-15.718403996999939,True
3170651,Vargem Grande do Rio Pardo,MG,833,5,1,1749,-42.42222399999999,-15.473226996999898,-42.197445999999964,-15.190731996999904,True
3170800,VÃ¡rzea da Palma,MG,836,5,1,5896,-45.045510999999934,-17.782941996999977,-44.43375399999995,-17.051312996999943,True
3170909,VarzelÃ¢ndia,MG,837,5,1,2855,-44.08997599999999,-15.789434996999905,-43.76142899999992,-15.48554799699998,True
3171030,VerdelÃ¢ndia,MG,839,5,1,3022,-43.90919199999993,-15.780896996999925,-43.36315299999997,-15.344094906999981,True
3171071,Veredinha,MG,840,5,1,2950,-42.88440199999998,-17.691218996,-42.54015599999993,-17.328064995999934,True
3171501,Mathias Lobato,MG,846,5,1,1088,-42.020237999999935,-18.672365996999893,-41.819236999999916,-18.534341996999935,True
3171600,Virgem da Lapa,MG,847,5,1,3498,-42.492507999999965,-16.917072996999902,-42.13851699999999,-16.467101995999975,True
3171808,VirginÃ³polis,MG,849,5,1,2862,-42.77764399999999,-18.951299995999946,-42.53493799999994,-18.650401996999975,True
3171907,VirgolÃ¢ndia,MG,850,5,1,1945,-42.40958499999998,-18.56938299699996,-42.202569000000004,-18.355454996999985,True
