codigo_ibge,municipio,uf,codigo_sudene,recorte,fonte,versao_recorte
3120839,Cuparaque,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3120870,Curral de Dentro,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3121001,Datas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3121605,Diamantina,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3122108,Divino das Laranjeiras,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3122207,Divinolândia de Minas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3122355,Divisa Alegre,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3122454,Divisópolis,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3122470,Dom Bosco,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3123106,Dores de Guanhães,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3123700,Engenheiro Caldas,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3123809,Engenheiro Navarro,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3124302,Espinosa,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3125408,Felício dos Santos,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3125507,São Gonçalo do Rio Preto,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3125606,Felisburgo,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3125804,Fernandes Tourinho,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126208,Formoso,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126505,Francisco Badaró,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126604,Francisco Dumont,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
3126703,Francisco Sá,MG,1,Área de atuação da SUDENE,IBGE - Área de Atuação da SUDENE,2021 (LC 185/2021)
