codigo_ibge
3141801
3126208
3144003
3157104
3124302
3109402
3113800
3144300
3138658
3120870
3144375
3142700
3135076
3127354
3136009
3121605
3154507
3170529
3163508
3167707
3122454
3168606
3126604
3119500
3111150
